HTMLvideotutorial-103-HTML5forms-Part3	KUyDYe9hjEg
HTMLvideotutorial-104-html5videotag-Part1	fyuWDANi7Y0
HTMLvideotutorial-105-html5videotag-Part2	H77m14Du9O0
HTMLTutorial-1:Introduction	rvsV3vsneGE
HTMLTutorial-2:MetaTaginHTML	CgBNNvHzgIA
HTMLTutorial-3:Headings	baHIgWUqYa0
HTMLTutorial-4:Paragraph&LineBreaks	P6IXnqX-BAQ
HTMLTutorial-5:TheCenterTagandNon-BreakingSpaces	gKdshDa-dTA
HTMLTutorial-6:ThePreTag&HorizontalRules	z4eSsvrRMH8
HTMLTutorial-7:TheBold,ItalicandUnderlineTags	rmqyIN3KvA8
HTMLTutorial-8:SuperscriptandSubscriptTags	or0S3hMbGcQ
HTMLTutorial-9:TheBigandSmallTags	u0-vdxrSY5I
HTMLTutorial-10:TheEmphasizeandStrongTags	plxdX4wOtBY
HTMLTutorial-11:TheBlockquoteandQuoteTags	SNEABGfkWhQ
HTMLTutorial-12:CommentsinHTML	nMPzlUBPn-A
HTMLTutorial-13:TheFontTag	JUDTaumYZHY
HTMLTutorial-14:InsertingImages	8Q1RGIdFNeE
HTMLTutorial-15:ExternalLinks	gHZvSOwqwbs
HTMLTutorial-16:RelativeLinking	6dEHR-3_XTo
HTMLTutorial-17:EmbeddingLinksUnderImages	Hnhh-aM0g2s
HTMLTutorial-18:EmailLinks	n_MkyP8pB7Y
HTMLTutorial-19:OrderedLists	xPDK7BHCBVI
HTMLTutorial-20:UnorderedLists	Y1B-s8X3QkA
HTMLTutorial-21:DefinitionLists	l1dutY9f5pI
HTMLTutorial-EmbeddingAudioinWebPages	MpILBRwLb94
HTMLTutorial-EmbeddingVideoClipsinWebPages	AHNKjzejo7s
HTMLTutorial-24:Tables	jo75QWOXHs8
HTMLTutorial-25:ChangingBackgroundColor	heP9tt5Kap0
HTMLTutorial-26:Forms(Part-1)	E__x4jlBrP4
HTMLTutorial-27:Forms(Part-2)	nIB_eg9ktqk
HTMLTutorial-28:Conclusion	-dh72F8_4cg
CourseIntroduction(30DaystoLearnHTMLandCSS)	yTHTo28hwTQ
Day1:YourFirstWebpage(30DaystoLearnHTML&CSS)	bfqBUDk99Tc
Day2:FindingaProperCodeEditor(30DaystoLearnHTML&CSS)	-8IoQTg5Ybs
Day3:Lists(30DaystoLearnHTML&CSS)	KHT6scxGm38
Day4:Parent-ChildRelationships(30DaystoLearnHTML&CSS)	Pf8xmAZYZC4
Day5:HeadingTags(30DaystoLearnHTML&CSS)	1JFeWDZ-2D8
Day6:Blockquotes(30DaystoLearnHTML&CSS)	P7KU6mqdmJ0
Day7:Anchors(30DaystoLearnHTML&CSS)	xIFZdFeGgoE
Day8:YourFirstStylesheet(30DaystoLearnHTML&CSS)	o1Vqr1MdRmg
Day9:CleanProjectStructures(30DaystoLearnHTML&CSS)	g7js1fW4AZw
Day10:Images(30DaystoLearnHTML&CSS)	xLDZvePzgK8
Day11:TheNecessityofDivs(30DaystoLearnHTML&CSS)	28z80vRCHYo
Day12:IDsandClasses(30DaystoLearnHTML&CSS)	4A2NP5TdDBg
Day13:AnAssignment(30DaystoLearnHTML&CSS)	bEuTfgwb6lU
Day14:AssignmentSolutions(30DaystoLearnHTML&CSS)	yb_xJJXUvyg
Day15:Floats,andaSimpleLayout(30DaystoLearnHTML&CSS)	4qEh8bwDW0I
Day16:NavigationandLists(30DaystoLearnHTML&CSS)	f62FD8t4aPU
Day17:IntroductiontoForms(30DaystoLearnHTML&CSS)	4DS4z20ZGyI
Day18:ImageReplacement(30DaystoLearnHTML&CSS)	jnG3mtEhpRQ
Day19:TheBasicsofTypography(30DaystoLearnHTML&CSS)	AKMgc4rzTrc
Day20:RelativeandAbsolutePositioning(30DaystoLearnHTML&CSS)	6Z8I8sOinUo
Day21:CreatingaWebsiteFragment(30DaystoLearnHTML&CSS)	AqAFnB-z8-Q
Day22:TheImportanceofValidation(30DaystoLearnHTML&CSS)	VIgxwR9AVrk
Day23:ZenCoding(30DaystoLearnHTML&CSS)	65QhaSFuxdo
Day24:ResetsandNormalizing(30DaystoLearnHTML&CSS)	IgFfsZfkd24
Day25:CSSFrameworks(30DaystoLearnHTML&CSS)	tm84gW72KFU
Day26:FinalProjectMarkup(30DaystoLearnHTML&CSS)	CilS1-ukeUA
Day27:SlicingaPSD(30DaystoLearnHTML&CSS)	j4kTLpezHDI
Day28:HowtoCreateSnippets(30DaystoLearnHTML&CSS)	Hr9dv5FCpZw
Day29:TheCSSforOurWebsite(30DaystoLearnHTML&CSS)	zvSR_2v5xj8
Day30:CompletingtheWebsite(30DaystoLearnHTML&CSS)	I9dNFHasF_U
CourseExit(30DaystoLearnHTML&CSS)	cUgpPAP0lUM
HTML-Introduction	NAEHbzXMNpA
HTML-GettingStarted	uoMCY2FhPAE
HTML-BasicTags	uMIjPKUXEEE
HTML-FormattingTags	4ZunanytE88
HTML-PhraseTags	nurQlBDhFLY
HTML-MetaTag	O3P01QDvdqY
HTML-Comments	u0WYSDbmoj8
HTML-Images	K-GFNxiV7W0
HTML-Tables	GuOb9t1zeQg
HTML-Hyperlink	VuNS-OA9CZA
HTML-Frames	HYQJyTdph5E
HTML-IFrames	uf_vad2ViPM
HTML-Blocks	Ql64muSQcCw
HTML-Fonts	z_HqwA70Op8
HTML-FormTag	2PgE7MpKzZU
HTML-Marquee	HBCf2qDeVGQ
HTML-EmbeddingMedia	nFCulrQ_IZ0
HTMLTutorialforBeginners01-HTMLIntroduction	Y1BlT4_c_SU
HTMLTutorialforBeginners02-WhatisHTML?	cZCq8lQ-vZ0
HTMLTutorialforBeginners03-HTMLSyntax&Structure	IJWcX2EDAKg
HTMLTutorialforBeginners04-YourFirstWebPage	MnaKa7igX7k
HTMLTutorialforBeginners05-HeadandBodyTag	mNRzWMH5xK0
HTMLTutorialforBeginners06-HeadingsandText	XxZPrn1VFTc
HTMLTutorialforBeginners07-HeadingStructure	UWdepvkLE8U
HTMLTutorialforBeginners08-DefaultBrowserStyles	OwC4xNWihoM
HTMLTutorialforBeginners09-TheimgTag	g6xsNHnAmlE
HTMLTutorialforBeginners10-HTMLLinks	f8pAb3IuECk
HTMLTutorialforBeginners11-HTMLLists	HeQvQEiGMKk
HTMLTutorialforBeginners12-HRandBRTags	xkF-cKpzREU
HTMLTutorialforBeginners13-ThedivTag	-XQlr727A8w
HTMLTutorialforBeginners14-ID'sandClasses	9UNmumTYuq8
HTMLTutorialforBeginners15-AddingCSStoHTML	Tc4IsPFB01E
HTMLTutorialforBeginners16-AddingJavaScripttoHTML	Gd0RBdFRvF0
HTMLTutorialforBeginners17-WhatToDoNext	xuA8kt2xnv8
HTML5Tutorial-1-Introduction	Mp0f0zTPLec
HTML5Tutorial-2-CreatingaBasicTemplate	qseNjA-73Fw
HTML5Tutorial-3-Settingupthebody	eDR7zpVfX_4
HTML5Tutorial-4-AddingtheMeat!	go5U9wfM9h4
HTML5Tutorial-5-AttributeSelectors	a5KD47HDRho
HTML5Tutorial-6-Introductiontopseudo-classes	0pb81VdSO_E
HTML5Tutorial-7-negationpseudo-class	JaLebQ-QDVo
HTML5Tutorial-8-SweetNewCSS3Selectors	tIznbrsfQZQ
HTML5Tutorial-9-LayingOuttheWebsite	Q7eoOSZ7JdY
HTML5Tutorial-10-StartingtheStyling	P71U-doyzNg
HTML5Tutorial-11-StylingtheNavigationMenu	8uTNq7fs5-s
HTML5Tutorial-12-MakingEverythingPretty	yNtIO4X6cag
HTML5Tutorial-13-FinishingtheLayout	tzAEGnBNAn0
HTML5Tutorial-14-FlexibleBoxModel	xgYmccJ61eA
HTML5Tutorial-15-StylingtheHeaderandNavigation	bi7ccKky8JU
HTML5Tutorial-16-FinishingtheFlexibleBoxModelLayout	F1uzS6PAjuc
HTML5Tutorial-17-ReversingtheBoxOrder	iTEgQP87IhQ
HTML5Tutorial-18-MoreFlexibleBoxModelTricks!	6L2DQkf0oR8
HTML5Tutorial-19-FinishinguptheFlexibleBoxModel	s_4zvAMU4BY
HTML5Tutorial-20-RoundedCornersandShadows!	fCU641pu6ys
HTML5Tutorial-21-TextShadows,Gradients,andAlpha	ritFiWDm08g
HTML5Tutorial-22-CrazyTransformations	jRWGqBUNk_c
HTML5Tutorial-24-MakingAwesomeRolloverButtons	WCsuxaqpQP8
HTML5Tutorial-25-WorkingwithJavaScriptinHTML5	L-FM97j7MyY
HTML5Tutorial-26-querySelectorAll	f15cVPPbjMI
HTML5Tutorial-27-PlayingVideoonYourWebsite	Gas8f7dJfWc
HTML5Tutorial-29-MakingYourSkinLookPretty!	p1bTTHVhlfM
HTML5Tutorial-30-StylingtheDefaultandProgressBars	d8PRA5kqL9s
HTML5Tutorial-31-ProgrammingtheVideoPlayer	M9dUfcmpuJY
HTML5Tutorial-32-PlayingandPausingtheMovie	wX0CdtO_1T0
HTML5Tutorial-33-HowtoUpdatetheProgressBar	6Ag9Gnv0o_8
HTML5Tutorial-34-FinishingUptheVideoPlayer!	FtvGVpSg4wA
HTML5Tutorial-35-TheCanvasElement	wyaEthRt330
HTML5Tutorial-36-DrawingShapesontheCanvas	t51omnjifl0
HTML5Tutorial-37-GradientsontheCanvas	FWB7SF9TM-A
HTML5Tutorial-38-MakingSweetCustomShapes!	1RdNGbfT_ok
HTML5Tutorial-39-WorkingwithTextandShadows	Pa9ASGA3m8U
HTML5Tutorial-40-Transformations	vU_wNPd3R_Q
HTML5Tutorial-41-SavingandRestoringtheCanvas	mqP8aWI758Q
